municipio,br,km,tipo_acidente,causa_acidente,tracado_via,tipo_pista,fase_dia,condicao_metereologica,veiculos,pessoas,ilesos,feridos,feridos_graves,feridos_leves,mortos,ignorados
Pilar,101,118.1,Colisão Transversal,Falta De Atenção,Reta,Simples,Pleno Dia,Chuva,2,3,0,0,0,0,2,1
Pilar,316,255,Colisão Transversal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,5,0,3,3,0,2,0
Pilar,316,255.7,Danos Eventuais,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,5,0,3,3,0,2,0
Pilar,316,2521,Colisão Com Objeto Estático,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Nublado,1,6,0,3,2,1,2,1
Pimenta Bueno,364,155.8,Colisão Lateral,Falta De Atenção,Reta,Simples,Plena Noite,Nublado,2,4,1,1,0,1,2,0
Pimenta Bueno,364,158.2,Saída De Pista,Falta De Atenção,Curva,Simples,Pleno Dia,Nublado,1,3,0,1,0,1,2,0
Pimenta Bueno,364,164.9,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Chuva,3,4,1,1,1,0,2,0
Pimenta Bueno,364,166.2,Saída De Pista,Defeito Na Via,Reta,Simples,Pleno Dia,Ceu Claro,1,3,0,1,1,0,2,0
Pimenta Bueno,364,174,Colisão Frontal,Falta De Atenção À Condução,Reta,Simples,Plena Noite,Céu Claro,2,3,0,1,0,1,2,0
Pimenta Bueno,364,178,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Ceu Claro,3,3,1,0,0,0,2,0
Pimenta Bueno,364,192.9,Colisão Transversal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,3,1,0,0,0,2,0
Pimenta Bueno,364,193.2,Colisão Frontal,Desobediência À Sinalização,Curva,Simples,Plena Noite,Nublado,2,3,1,0,0,0,2,0
Pimenta Bueno,364,202.3,Colisão Traseira,Falta De Atenção,Reta,Simples,Plena Noite,Nublado,2,3,1,0,0,0,2,0
Pimenta Bueno,364,1207,Colisão Frontal,Mal Súbito,Reta,Simples,Pleno Dia,Sol,3,6,3,1,1,0,2,0
Pimenta Bueno,364,1618,Colisão Frontal,Outras,Curva,Simples,Pleno Dia,Chuva,2,3,1,0,0,0,2,0
Pimenta Bueno,364,1986,Colisão Frontal,Desobediência À Sinalização,Reta,Simples,Pleno Dia,Ceu Claro,2,3,1,0,0,0,2,0
Pimenta Bueno,364,2145,Colisão Traseira,Falta De Atenção À Condução,Reta,Simples,Anoitecer,Céu Claro,2,5,1,0,0,0,2,2
Pindamonhangaba,116,84,Colisão Frontal,Falta De Atenção À Condução,Reta,Duplicada,Plena Noite,Céu Claro,2,3,1,0,0,0,2,0
Pindamonhangaba,116,88.1,Colisão Traseira,Não Guardar Distância De Segurança,Reta,Duplicada,Plena Noite,Ceu Claro,6,8,5,1,0,1,2,0
Pindamonhangaba,116,92.7,Colisão Traseira,Velocidade Incompatível,Reta,Duplicada,Plena Noite,Ceu Claro,2,2,0,0,0,0,2,0
Pindamonhangaba,116,100,Colisão Traseira,Velocidade Incompatível,Reta,Duplicada,Plena Noite,Céu Claro,2,3,1,0,0,0,2,0
Pinhalzinho,282,573.2,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Pleno Dia,Chuva,2,5,0,3,2,1,2,0
Pinhalzinho,282,574.9,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,5,1,2,2,0,2,0
Pinhalzinho,282,578.9,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Ceu Claro,2,5,0,3,2,1,2,0
Pinhalzinho,282,5745,Colisão Transversal,Velocidade Incompatível,Reta,Simples,Pleno Dia,Céu Claro,2,5,0,2,2,0,2,1
Pinhalzinho,282,5763,Colisão Frontal,Desobediência Às Normas De Trânsito Pelo Condutor,Reta,Simples,Pleno Dia,Sol,2,4,1,0,0,0,2,1
Pinhalzinho,282,5817,Colisão Frontal,Desobediência Às Normas De Trânsito Pelo Condutor,Reta,Simples,Plena Noite,Céu Claro,3,5,1,2,2,0,2,0
Pinhalzinho,282,5871,Colisão Frontal,Ingestão De Álcool E/Ou Substâncias Psicoativas Pelo Pedestre,Não Informado,Simples,Pleno Dia,Nevoeiro/Neblina,2,3,0,1,0,1,2,0
Pinheiro Machado,293,919,Saída De Leito Carroçável,Falta De Atenção À Condução,Desvio Temporário,Simples,Plena Noite,Ignorado,1,2,0,0,0,0,2,0
Pinheiros,101,255,Colisão Frontal,Falta De Atenção À Condução,Reta,Simples,Plena Noite,Nublado,2,11,0,9,9,0,2,0
Pio Xii,316,31,Capotamento,Outras,Reta,Simples,Amanhecer,Chuva,1,2,0,0,0,0,2,0
Pio Xii,316,292,Colisão Com Bicicleta,Desobediência À Sinalização,Reta,Simples,Pleno Dia,Ceu Claro,2,3,1,0,0,0,2,0
Pio Xii,316,293,Colisão Traseira,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,3,0,0,0,0,2,1
Pio Xii,316,296.2,Capotamento,Falta De Atenção,Reta,Duplicada,Plena Noite,Ceu Claro,1,5,1,2,2,0,2,0
Pio Xii,316,322.6,Colisão Frontal,Animais Na Pista,Reta,Simples,Plena Noite,Ceu Claro,2,7,0,5,3,2,2,0
Piquete,459,9,Capotamento,Velocidade Incompatível,Curva,Simples,Pleno Dia,Sol,1,3,1,0,0,0,2,0
Piquete,459,9.8,Colisão Frontal,Outras,Curva,Duplicada,Pleno Dia,Chuva,2,7,2,3,3,0,2,0
Piracanjuba,153,549,Saída De Pista,Outras,Curva,Duplicada,Amanhecer,Ceu Claro,1,3,0,1,0,1,2,0
Piracanjuba,153,558,Saída De Pista,Outras,Reta,Duplicada,Pleno Dia,Chuva,1,2,0,0,0,0,2,0
Piracuruca,343,125.8,Capotamento,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,1,18,1,15,2,13,2,0
Piracuruca,343,143.6,Colisão Frontal,Outras,Curva,Simples,Plena Noite,Vento,2,3,0,1,1,0,2,0
Pirai,116,228,Atropelamento De Pessoa,Outras,Curva,Duplicada,Pleno Dia,Sol,1,3,1,0,0,0,2,0
Pirai,116,230,Atropelamento De Pessoa,Outras,Curva,Duplicada,Pleno Dia,Chuva,1,3,1,0,0,0,2,0
Pirai,116,234,Colisão Traseira,Outras,Reta,Duplicada,Anoitecer,Chuva,2,4,2,0,0,0,2,0
Pirai,116,237,Colisão Frontal,Desobediência À Sinalização,Reta,Duplicada,Plena Noite,Ceu Claro,2,2,0,0,0,0,2,0
Pirai,116,240.8,Tombamento,Velocidade Incompatível,Curva,Duplicada,Plena Noite,Ceu Claro,1,2,0,0,0,0,2,0
Pirai,116,242,Atropelamento De Pessoa,Desobediência À Sinalização,Curva,Duplicada,Anoitecer,Ceu Claro,1,3,1,0,0,0,2,0
Pirai,116,242,Atropelamento De Pessoa,Outras,Reta,Duplicada,Plena Noite,Nublado,1,4,0,1,0,1,2,1
Pirai,116,249,Derramamento De Carga,Outras,Reta,Duplicada,Amanhecer,Ceu Claro,2,5,1,2,2,0,2,0
Pirai,116,253,Tombamento,Outras,Reta,Duplicada,Pleno Dia,Ceu Claro,1,4,0,2,0,2,2,0
Pirai,116,2289,Colisão Lateral,Restrição De Visibilidade,Curva,Duplicada,Plena Noite,Céu Claro,2,2,0,0,0,0,2,0
Pirai,116,2511,Saída De Leito Carroçável,Fenômenos Da Natureza,Curva,Duplicada,Pleno Dia,Nublado,1,2,0,0,0,0,2,0
Piranguinho,459,133.8,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,6,4,0,0,0,2,0
Piranguinho,459,138.9,Saída De Pista,Outras,Curva,Simples,Plena Noite,Nublado,1,3,0,1,1,0,2,0
Piranguinho,459,154.5,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Pleno Dia,Sol,3,4,2,0,0,0,2,0
Piranguinho,459,158.3,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Plena Noite,Nublado,2,3,0,1,0,1,2,0
Piranhas,158,80.9,Atropelamento De Pessoa,Outras,Curva,Simples,Plena Noite,Chuva,2,3,0,0,0,0,2,1
Pirapora,365,14.6,Saída De Pista,Velocidade Incompatível,Curva,Simples,Plena Noite,Chuva,1,3,0,1,1,0,2,0
Pirapora,365,163,Saída De Pista,Outras,Curva,Simples,Plena Noite,Nublado,1,2,0,0,0,0,2,0
Pirapora,365,1486,Saída De Leito Carroçável,Velocidade Incompatível,Reta,Simples,Plena Noite,Chuva,1,3,0,1,1,0,2,0
Piratini,293,57.9,Colisão Frontal,Outras,Curva,Simples,Pleno Dia,Nublado,2,4,1,1,1,0,2,0
Piratini,392,178.3,Colisão Frontal,Outras,Curva,Simples,Pleno Dia,Nublado,2,7,2,3,2,1,2,0
Pirenopolis,153,398.8,Colisão Frontal,Falta De Atenção,Reta,Simples,Anoitecer,Ignorada,2,3,1,0,0,0,2,0
Pirenopolis,153,400.4,Colisão Frontal,Outras,Curva,Simples,Amanhecer,Ignorada,2,2,0,0,0,0,2,0
Pirenopolis,153,404,Colisão Transversal,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,6,0,4,3,1,2,0
Pirenopolis,153,408.8,Colisão Traseira,Velocidade Incompatível,Reta,Simples,Pleno Dia,Sol,3,5,1,2,0,2,2,0
Pirenopolis,153,4124,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,3,1,0,0,0,2,0
Piripiri,343,135.8,Colisão Traseira,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,3,1,0,0,0,2,0
Piripiri,343,177,Colisão Com Bicicleta,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,3,0,1,0,1,2,0
